trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.75, 'e': 0.8119999999999998}",30,0,-82.51430480339118,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
95,False,"{'a': 0.75, 'e': 0.8099999999999998}",20,0,-81.8356715994759,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.75, 'e': 0.8079999999999998}",25,0,-211.98887481892305,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
97,False,"{'a': 0.75, 'e': 0.8059999999999998}",30,0,-158.98051295048833,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
98,False,"{'a': 0.75, 'e': 0.8039999999999998}",20,0,-59.43399097747581,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.75, 'e': 0.8019999999999998}",25,0,-138.11087212975525,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.75, 'e': 0.7999999999999998}",20,0,-22.004187766641987,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.75, 'e': 0.7979999999999998}",25,0,-112.99152823382141,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
102,False,"{'a': 0.75, 'e': 0.7959999999999998}",25,0,-131.89718745046707,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
103,False,"{'a': 0.75, 'e': 0.7939999999999998}",25,0,-213.15370543766528,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
104,False,"{'a': 0.75, 'e': 0.7919999999999998}",20,0,-62.197470115912665,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.75, 'e': 0.7899999999999998}",30,16,-23.08335110595781,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.75, 'e': 0.7879999999999998}",25,0,-95.7433381185408,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
107,False,"{'a': 0.75, 'e': 0.7859999999999998}",30,0,-102.65660572250401,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
108,False,"{'a': 0.75, 'e': 0.7839999999999998}",20,0,-44.54605627661347,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.75, 'e': 0.7819999999999998}",25,0,-110.90226366017397,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
110,False,"{'a': 0.75, 'e': 0.7799999999999998}",35,17,-52.586244222859726,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
111,False,"{'a': 0.75, 'e': 0.7779999999999998}",20,0,-175.88442259821608,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
112,False,"{'a': 0.75, 'e': 0.7759999999999998}",25,0,-155.2887934622767,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
113,False,"{'a': 0.75, 'e': 0.7739999999999998}",20,0,-58.14073529783447,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
114,False,"{'a': 0.75, 'e': 0.7719999999999998}",25,8,-48.307027549648495,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
115,False,"{'a': 0.75, 'e': 0.7699999999999998}",20,2,-66.29790830043468,"{0: 13, 1: 1, 2: 0, 3: 4, 4: 0}",1
116,False,"{'a': 0.75, 'e': 0.7679999999999998}",25,17,-12.68149287467871,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
